	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup19317	4	8	0	13	1	2	4	2	3	11	2	2	6	2	1	9	
isogroup19318	5	1	0	2	0	1	3	11	0	0	3	6	0	3	7	6	
isogroup19319	13	21	29	19	24	41	35	422	3	142	32	105	767	1095	275	644	
isogroup1932	13	8	11	17	9	6	3	3	8	11	2	3	12	18	9	0	
isogroup19320	24	19	74	170	1	2	39	98	26	70	44	36	40	42	22	22	
isogroup19321	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
isogroup19322	3	5	6	4	5	2	2	4	3	2	1	2	4	2	3	6	
isogroup19323	25	27	24	28	11	18	29	32	16	28	21	26	36	38	47	41	
isogroup19324	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup19325	99	51	17	26	20	3	33	57	14	35	30	50	2	50	40	43	
isogroup19326	6	8	3	3	6	4	0	3	5	4	2	0	2	3	0	2	
isogroup19327	0	2	0	1	2	0	0	0	0	0	0	0	1	2	1	0	
isogroup19328	14	17	11	19	21	9	29	43	2	3	6	16	7	23	17	23	
isogroup19329	6	16	8	12	4	13	24	32	5	13	6	15	10	25	15	24	
isogroup1933	6	5	7	2	2	2	6	2	1	4	3	3	1	7	5	1	
isogroup19331	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup19333	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	
isogroup19334	3	6	4	2	0	7	5	3	2	1	2	3	1	5	5	0	
isogroup19336	2	3	1	2	3	1	6	5	0	2	3	1	1	5	4	2	
isogroup19337	6	4	2	4	1	4	5	7	8	5	5	7	10	4	3	1	
isogroup19338	1	0	0	1	0	1	0	2	1	1	1	1	2	0	0	1	
isogroup19339	0	0	4	9	2	9	6	12	2	3	8	4	2	14	14	11	
isogroup1934	12	8	4	22	31	13	12	27	11	5	18	12	7	9	15	6	
isogroup19340	291	294	147	325	125	141	171	425	270	245	266	296	315	462	464	424	
isogroup19341	23	64	27	56	15	15	39	70	9	16	36	62	0	0	25	25	
isogroup19342	0	0	18	13	4	13	0	0	4	10	1	0	0	0	10	18	
isogroup19343	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	
isogroup19344	4	4	3	9	3	2	5	4	1	6	0	5	1	4	2	5	
isogroup19345	0	2	0	1	3	1	3	3	5	2	3	1	3	2	0	2	
isogroup19346	1	0	0	2	3	1	0	1	0	1	2	0	0	1	2	0	
isogroup19347	30	28	18	28	21	6	22	29	23	12	15	44	2	21	0	1	
isogroup19349	17	18	17	15	10	4	49	28	5	7	6	30	14	50	18	27	
isogroup1935	3	9	4	2	2	3	7	11	1	3	5	5	4	5	1	6	
isogroup19350	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	
isogroup19351	4	10	3	17	2	14	3	8	0	0	0	0	0	0	6	1	
isogroup19352	24	17	20	11	14	8	23	76	23	14	24	27	31	63	53	46	
isogroup19354	7	5	2	2	2	5	9	8	1	2	8	5	4	4	7	11	
isogroup19356	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup19357	7	5	7	6	4	3	8	6	1	3	1	7	3	14	5	4	
isogroup1936	395	149	156	564	187	369	326	879	500	286	665	342	370	214	337	139	
isogroup19360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup19362	34	36	17	25	21	15	26	44	18	29	23	38	18	39	34	34	
isogroup19363	27740	29333	21872	23926	16665	15188	21282	24800	18354	23863	18827	26545	16267	22411	20138	21545	
isogroup19364	28	34	25	69	13	33	31	95	22	24	26	26	47	101	65	94	
isogroup19365	0	0	0	0	1	0	0	0	0	0	0	1	1	4	0	3	
isogroup19366	919	1016	626	1198	713	768	1088	1801	866	744	951	1063	1267	1724	1518	1300	
isogroup19367	2	2	20	26	4	4	1	6	3	4	0	3	3	15	24	15	
isogroup19368	7	7	9	5	5	3	5	6	4	2	4	5	10	12	7	7	
isogroup19369	4	2	2	3	12	4	5	2	1	2	1	2	4	3	5	1	
isogroup1937	0	0	2	2	3	1	0	4	0	1	3	1	1	2	1	2	
isogroup19370	27	40	24	49	16	20	25	60	29	25	26	25	72	57	49	56	
isogroup19371	2	1	4	4	2	2	3	5	0	1	2	3	1	8	3	2	
isogroup19372	37	14	6	6	2	0	19	56	8	1	11	20	5	11	23	12	
isogroup19373	9	12	7	7	4	4	3	5	1	2	4	5	2	11	9	5	
isogroup19374	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup19375	477	523	508	786	605	520	667	852	467	452	563	668	545	574	828	572	
isogroup19377	9	8	8	12	3	4	24	28	6	7	11	27	7	15	13	25	
isogroup19378	11	10	7	10	8	12	11	16	14	8	12	20	5	25	25	16	
isogroup19379	0	0	0	0	0	0	0	2	0	1	0	0	5	0	1	1	
isogroup1938	3	4	1	3	1	0	5	1	0	0	1	1	0	3	4	4	
isogroup19380	1	2	1	0	4	0	1	0	3	0	1	0	1	1	0	4	
isogroup19381	1	5	4	2	3	1	0	2	1	0	2	5	2	4	4	5	
isogroup19382	17	23	22	24	5	15	10	25	13	9	9	11	15	27	23	23	
isogroup19383	1	0	0	0	0	0	0	2	0	1	2	0	0	1	1	0	
isogroup19384	2	2	2	4	5	4	1	1	0	2	2	1	0	2	2	2	
isogroup19385	6	14	14	11	5	10	9	11	5	10	7	11	28	18	19	14	
isogroup19386	2	4	4	2	4	9	2	4	7	2	7	13	2	8	7	14	
isogroup19387	44	63	41	31	15	20	23	36	13	19	4	10	5	24	18	21	
isogroup19388	8	9	7	11	7	4	4	7	6	7	2	5	3	4	8	12	
isogroup19389	16	9	15	9	8	4	26	65	3	5	4	59	5	33	15	34	
isogroup1939	5	8	10	11	5	5	5	11	0	1	1	0	0	0	1	0	
isogroup19392	0	1	1	0	2	0	0	0	1	0	0	0	0	1	1	0	
isogroup19393	3	8	13	6	3	8	6	3	2	1	0	4	2	4	2	1	
isogroup19394	0	0	0	0	1	0	4	2	2	0	0	2	0	0	4	1	
isogroup19395	39	59	57	72	18	53	32	57	27	43	35	43	52	82	52	66	
isogroup19396	190	328	124	322	167	357	281	252	295	232	146	220	193	124	220	162	
isogroup19397	0	0	0	0	1	0	4	9	0	0	0	0	12	62	16	34	
isogroup19398	6	5	8	8	5	15	6	11	7	13	8	4	4	7	8	7	
isogroup19399	0	3	2	1	1	0	1	4	1	2	2	1	0	0	1	1	
isogroup194	36	22	41	16	24	5	44	60	16	26	24	54	26	43	17	30	
isogroup1940	3	1	5	1	2	3	5	8	1	1	1	5	2	3	4	3	
isogroup19400	1	6	6	4	1	2	3	3	2	4	2	0	1	2	1	3	
isogroup19401	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup19402	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
isogroup19403	3	4	0	1	1	0	0	0	1	2	3	0	2	3	2	2	
isogroup19404	0	0	1	2	1	1	3	4	0	0	1	0	0	0	1	0	
isogroup19405	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	
isogroup19407	37	49	29	66	13	59	31	59	30	35	35	33	40	39	49	33	
isogroup19408	7	16	9	16	1	5	8	25	5	3	8	15	11	23	12	9	
isogroup19409	7	7	10	13	27	4	15	23	8	8	14	12	8	10	15	16	
isogroup1941	35	45	31	43	30	11	54	89	17	35	31	41	29	66	42	37	
isogroup19412	881	888	393	740	316	183	748	1100	1075	951	1005	1386	449	796	1325	742	
isogroup19413	3	3	2	6	4	2	4	6	1	0	2	1	2	2	3	5	
isogroup19414	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	
isogroup19415	257	285	332	338	343	239	269	314	220	147	177	289	244	302	237	196	
isogroup19416	89	118	4	0	72	124	76	89	121	76	78	120	126	122	279	226	
isogroup19417	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup19418	4	0	1	2	1	1	3	2	1	4	3	1	2	1	1	2	
isogroup19419	230	115	110	311	155	94	155	410	173	208	166	213	148	201	195	90	
isogroup1942	2	2	0	1	0	0	1	4	0	0	2	2	0	1	2	1	
isogroup19421	7	1	1	5	4	3	6	5	4	0	2	6	1	3	1	5	
isogroup19422	17	19	12	25	10	8	27	40	9	16	13	16	13	37	21	32	
isogroup19423	2	1	2	7	1	2	1	4	3	0	2	0	0	3	4	6	
isogroup19424	2	5	7	8	6	3	4	7	1	2	2	4	1	9	8	3	
isogroup19425	2	1	3	2	1	1	0	2	1	2	1	2	1	2	1	0	
isogroup19426	183	204	104	399	68	165	123	273	266	196	223	242	380	385	368	285	
isogroup19427	3	9	4	1	2	8	1	3	2	1	1	5	0	2	3	2	
isogroup19428	254	291	208	370	151	130	292	465	188	171	232	257	150	482	337	254	
isogroup19429	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	
isogroup1943	57	81	83	111	111	90	80	88	56	62	78	103	42	107	87	70	
isogroup19430	32	46	24	43	16	27	41	85	21	34	20	70	64	190	59	130	
isogroup19431	4	5	7	17	2	7	6	4	4	4	12	2	6	1	12	5	
isogroup19432	4	3	7	10	6	2	1	4	3	2	4	4	1	5	6	4	
isogroup19433	2	0	1	1	1	0	3	2	1	0	1	0	1	4	2	1	
isogroup19434	9	14	21	14	13	18	11	13	12	13	9	13	13	20	9	13	
isogroup19435	5	6	4	4	3	6	6	14	3	3	1	6	6	16	10	6	
isogroup19436	38	35	24	33	21	16	32	46	26	24	19	47	20	52	30	23	
isogroup19437	0	0	0	0	0	0	2	3	0	0	0	1	1	0	0	1	
isogroup19438	53	277	74	43	11	63	7	2	16	11	6	7	7	1	9	5	
isogroup19439	3	5	3	5	7	4	9	10	7	3	7	7	6	9	13	7	
isogroup1944	60	74	53	106	42	64	48	72	60	67	44	53	42	36	68	34	
isogroup19440	5	9	6	8	6	8	8	18	8	6	6	7	8	14	8	13	
isogroup19441	0	2	1	1	0	1	0	6	0	0	0	1	0	1	3	2	
isogroup19442	3	0	0	2	1	1	1	5	0	0	0	0	3	3	8	2	
isogroup19443	0	0	2	2	4	3	5	4	0	2	1	3	0	4	0	4	
isogroup19444	3	7	1	2	2	2	7	10	2	2	1	2	19	20	15	22	
isogroup19445	13	13	9	80	9	87	10	11	49	28	4	5	20	7	19	12	
isogroup19446	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup19447	224	327	157	400	156	256	226	308	310	265	199	312	485	556	405	339	
isogroup19448	4	10	2	5	4	7	3	9	3	4	2	7	5	8	6	9	
isogroup19449	8	5	1	9	3	2	4	3	4	1	2	1	5	7	2	2	
isogroup1945	31	45	58	66	76	17	114	102	21	21	47	107	14	81	68	70	
isogroup19450	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	
isogroup19451	2	6	4	7	1	0	4	4	5	6	2	1	2	1	1	4	
isogroup19452	16	11	16	19	9	8	10	13	15	20	12	19	15	18	21	8	
isogroup19453	3	0	0	2	4	0	3	2	1	0	2	1	1	4	3	0	
isogroup19454	2	0	0	3	1	1	0	1	1	0	1	0	0	1	0	1	
isogroup19455	0	1	0	3	2	5	3	0	0	0	0	1	0	0	0	0	
isogroup19456	17	38	30	48	14	33	21	42	25	25	22	23	42	48	35	41	
isogroup19457	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup19458	58	86	83	71	45	62	51	76	36	44	37	79	67	103	82	77	
isogroup19459	2	4	1	0	0	0	2	2	0	1	9	3	1	2	1	3	
isogroup1946	29	29	28	33	18	37	20	42	26	17	33	45	32	28	35	29	
isogroup19460	6	11	4	10	1	6	8	14	6	8	3	5	13	22	4	16	
isogroup19462	18	15	15	56	14	50	19	36	30	26	60	48	2	1	50	28	
isogroup19463	1	0	0	1	0	0	1	3	0	1	0	1	1	0	1	1	
isogroup19464	1	3	1	5	4	1	4	4	4	1	3	3	2	3	3	4	
isogroup19465	1723	1814	1225	2277	1350	1085	1884	2928	1483	1357	1676	2271	1627	2200	2505	1693	
isogroup19466	2	0	0	0	1	5	0	3	0	0	0	0	0	0	1	1	
isogroup19467	5	6	5	6	5	8	5	6	5	0	2	7	3	3	7	3	
isogroup19468	4	4	13	6	4	2	4	10	1	7	1	3	0	4	4	2	
isogroup19469	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	
isogroup1947	15	38	46	38	17	20	13	26	21	11	12	13	9	10	22	12	
isogroup19470	30	18	13	36	6	12	17	56	31	21	21	39	20	35	35	24	
isogroup19471	20	19	12	10	28	5	25	32	11	16	7	22	10	27	18	16	
isogroup19472	0	1	1	1	2	0	1	2	0	0	0	3	0	6	1	1	
isogroup19474	43	47	32	44	16	20	32	64	22	22	31	45	24	92	45	61	
isogroup19476	6	3	1	3	3	2	3	2	6	1	2	2	0	1	1	1	
isogroup19477	0	1	0	0	1	0	2	2	0	2	2	2	0	1	1	4	
isogroup19478	7	3	13	9	6	8	5	10	4	4	4	9	4	8	11	5	
isogroup19479	7	10	3	10	4	10	7	13	8	5	6	6	7	12	6	10	
isogroup1948	52	42	37	73	22	39	56	61	71	78	28	61	107	50	69	54	
isogroup19480	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup19481	99	95	70	109	74	55	109	186	80	79	109	137	105	111	140	77	
isogroup19482	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup19483	15	27	6	85	9	15	15	35	38	26	36	24	8	28	28	11	
isogroup19484	5	1	0	3	3	1	4	3	3	1	0	0	0	6	3	3	
isogroup19485	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup19486	4	1	0	3	2	0	1	1	1	2	1	0	4	2	1	2	
isogroup19487	0	0	1	1	0	1	0	1	0	0	2	0	2	1	1	3	
isogroup19488	67	78	67	76	40	50	51	97	39	30	43	80	43	116	86	126	
isogroup19489	0	1	0	3	1	0	2	2	0	0	3	2	0	1	2	2	
isogroup1949	10	15	12	16	6	10	18	28	11	8	9	13	11	17	13	16	
isogroup19490	2	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	
isogroup19491	1	3	2	2	0	1	1	5	0	0	0	1	0	2	2	0	
isogroup19492	5	3	5	4	9	2	8	3	1	1	3	6	1	2	3	3	
isogroup19493	7	6	3	10	5	2	11	15	3	6	7	9	2	1	6	2	
isogroup19494	1	2	0	1	0	0	0	0	1	0	0	0	1	1	1	1	
isogroup19495	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	
isogroup19496	12	15	7	7	5	3	11	12	6	10	5	7	4	22	11	13	
isogroup19498	5	8	5	5	6	4	2	7	1	1	1	0	8	16	4	10	
isogroup19499	3	5	7	9	7	4	6	12	3	7	4	8	19	25	16	16	
isogroup195	10	18	9	29	29	13	21	22	8	10	20	24	19	25	11	11	
isogroup1950	3	5	3	4	4	5	2	4	2	4	2	1	7	3	5	7	
isogroup19501	10	7	5	11	3	1	7	11	4	6	2	6	3	9	8	7	
isogroup19502	5	4	5	5	5	7	3	3	8	11	11	4	3	6	2	6	
isogroup19503	0	0	0	0	0	0	0	2	0	0	0	2	2	8	0	3	
isogroup19504	23	21	19	20	20	15	33	45	9	10	18	25	7	36	25	26	
isogroup19505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup19506	7	9	7	10	2	1	11	37	4	8	9	19	65	51	34	31	
isogroup19507	1	1	1	1	0	0	2	8	1	4	1	6	1	2	2	2	
isogroup19508	0	1	1	0	1	1	2	2	0	1	0	1	0	0	2	1	
isogroup1951	8	7	10	9	7	4	18	23	3	1	8	17	2	8	9	11	
isogroup19510	376	389	221	454	193	210	281	598	289	293	327	407	467	602	587	538	
isogroup19511	14	12	4	9	3	1	7	15	7	10	12	4	1	10	22	9	
isogroup19512	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup19513	69	29	62	88	32	44	73	109	65	36	16	17	108	141	123	84	
isogroup19514	0	0	0	0	14	10	12	13	0	0	0	0	1	1	16	16	
isogroup19515	0	0	0	0	1	1	1	1	0	4	1	3	0	0	0	0	
isogroup19516	3	5	3	4	4	2	2	0	2	2	1	1	5	5	1	5	
isogroup19517	4	4	4	7	4	2	3	1	2	0	3	2	1	3	1	0	
isogroup19518	0	1	0	2	0	0	4	3	0	2	0	1	2	7	3	1	
isogroup19519	2	4	2	3	1	3	1	3	0	1	4	3	2	2	3	1	
isogroup1952	8	9	2	8	2	1	16	13	3	1	5	9	8	9	7	11	
isogroup19520	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup19521	21	25	10	16	15	12	21	21	8	15	10	21	11	31	22	32	
isogroup19522	6	7	6	9	3	5	2	8	5	3	7	3	6	10	7	13	
isogroup19523	2	7	5	4	1	3	2	4	0	2	2	2	2	4	2	6	
isogroup19524	0	3	0	2	1	1	1	0	1	0	0	0	0	4	0	0	
isogroup19525	33	27	35	32	29	17	34	32	16	16	39	30	22	38	39	33	
isogroup19526	1	0	0	1	2	1	1	0	2	0	1	1	0	2	0	0	
isogroup19528	15	21	16	25	28	14	35	40	20	15	13	29	17	38	43	19	
isogroup19529	0	1	1	5	2	1	2	2	0	1	0	3	0	3	0	0	
isogroup1953	16	17	14	27	18	13	15	29	17	15	14	9	7	22	9	15	
isogroup19531	12	12	10	14	6	3	14	30	8	14	20	12	23	20	29	18	
isogroup19532	21	28	19	19	15	14	13	25	10	10	6	14	11	41	18	14	
isogroup19533	0	2	4	4	1	6	1	12	0	2	0	4	5	16	2	8	
isogroup19534	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	
isogroup19536	2	3	2	1	1	2	3	5	0	2	0	4	0	2	2	1	
isogroup19537	3	6	1	3	2	6	4	9	4	6	2	5	3	16	4	8	
isogroup19538	226	149	155	404	90	267	190	274	165	261	347	158	264	172	219	134	
isogroup19539	4	2	3	4	1	2	1	3	0	0	2	1	1	0	1	0	
isogroup1954	3	22	23	4	1	13	0	1	0	1	1	0	0	2	2	0	
isogroup19540	15	12	11	14	13	6	6	7	10	7	8	23	13	25	24	11	
isogroup19541	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
isogroup19542	4	14	3	10	12	2	10	14	7	5	5	6	2	15	11	8	
isogroup19543	11	19	23	26	13	29	20	22	51	20	4	19	28	13	15	32	
isogroup19544	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	
isogroup19547	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup19548	0	3	1	3	1	0	4	5	0	0	4	3	4	2	6	2	
isogroup19549	4	7	4	4	2	2	5	6	5	8	1	0	3	5	0	0	
isogroup1955	5	2	0	3	2	1	5	10	1	2	5	8	0	5	4	3	
isogroup19550	2	2	3	7	2	1	6	4	0	1	1	5	0	4	1	4	
isogroup19551	2	3	1	0	1	2	0	1	0	3	0	2	1	2	1	2	
isogroup19552	317	249	250	337	144	73	253	459	258	243	320	310	216	283	315	108	
isogroup19553	12	13	14	28	13	19	17	35	17	8	14	22	5	19	19	28	
isogroup19555	87	114	53	154	83	134	72	110	157	111	92	158	107	68	208	162	
isogroup19556	0	0	0	4	1	2	0	0	1	4	0	0	1	0	1	1	
isogroup19557	0	2	0	1	0	1	1	2	0	0	1	0	0	5	0	1	
isogroup19558	0	0	2	1	2	1	1	1	0	1	2	0	0	0	1	0	
isogroup19559	1	3	0	0	1	1	2	3	2	0	0	1	1	2	3	4	
isogroup1956	27	38	28	64	64	64	94	77	42	26	31	68	51	62	55	90	
isogroup19560	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup19561	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup19562	19	22	18	30	20	21	17	40	18	18	10	25	59	65	29	65	
isogroup19563	3	2	3	2	5	3	4	6	1	1	3	6	3	5	1	6	
isogroup19564	1	0	0	0	2	1	0	2	0	1	0	0	1	0	0	0	
isogroup19565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup19566	1	4	2	4	4	2	0	3	1	1	0	4	1	3	5	4	
isogroup19567	4	8	4	5	1	2	1	8	0	1	4	4	3	4	6	4	
isogroup19568	62	90	41	179	7	60	14	210	3	116	63	127	8	156	24	4	
isogroup19569	0	0	1	2	0	4	1	1	0	0	0	0	0	5	2	3	
isogroup1957	36	57	42	53	25	17	31	76	24	35	39	30	45	58	68	49	
isogroup19570	1607	1170	746	1597	550	664	775	1851	1132	933	1171	1185	935	1312	1822	962	
isogroup19572	9	4	10	10	4	1	6	5	3	5	5	16	2	4	11	9	
isogroup19573	9	4	7	4	1	1	2	4	1	1	1	9	3	3	5	5	
isogroup19574	7	7	1	6	4	2	9	18	2	4	9	12	2	7	9	8	
isogroup19576	1	3	1	2	0	0	3	0	1	1	0	1	1	1	1	0	
isogroup19579	100	108	2	0	42	47	1	1	88	92	83	115	1	1	1	0	
isogroup1958	71	106	99	91	53	46	75	109	45	43	41	74	35	103	72	81	
isogroup19580	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup19581	9	6	2	0	2	4	6	8	4	5	3	4	0	2	3	3	
isogroup19582	2	1	0	2	1	0	1	3	1	0	0	2	0	2	2	1	
isogroup19583	56	68	34	51	30	23	62	90	23	32	33	64	32	97	45	91	
isogroup19584	2	2	0	0	1	0	0	1	2	1	2	1	2	1	1	1	
isogroup19585	126	113	31	196	96	209	44	194	166	122	335	280	119	143	166	44	
isogroup19586	2	2	2	3	4	3	4	2	3	2	1	3	1	1	2	0	
isogroup19588	22	21	18	27	18	10	26	26	8	9	16	22	12	40	26	25	
isogroup19589	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	
isogroup1959	31	26	38	60	28	26	47	66	20	14	30	31	17	61	42	43	
isogroup19590	4	6	0	1	0	0	1	0	0	1	0	0	2	2	0	0	
isogroup19591	1	1	0	0	0	0	0	1	0	0	1	1	0	2	2	0	
isogroup19592	453	272	115	245	121	168	168	200	223	188	104	189	151	165	153	147	
isogroup19593	1	6	3	4	2	1	2	6	3	2	2	2	2	3	6	3	
isogroup19594	32	29	19	42	22	17	28	36	29	21	23	39	22	34	33	36	
isogroup19595	1	2	4	0	0	0	1	0	0	0	2	2	0	2	2	4	
isogroup19596	16	19	9	8	7	12	8	8	5	11	3	8	12	23	6	10	
isogroup19597	7	9	17	15	6	5	6	15	2	0	2	8	2	12	3	7	
isogroup19598	0	2	5	1	0	10	0	0	0	0	0	0	0	0	0	0	
isogroup19599	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup196	5	10	11	8	4	5	6	5	1	1	2	3	2	5	2	2	
isogroup1960	9	9	21	13	18	13	16	23	7	5	5	7	3	9	5	3	
isogroup19600	4	3	1	5	1	0	2	4	3	2	3	1	1	4	4	5	
isogroup19601	26	19	21	18	9	7	27	41	15	11	32	17	9	30	23	6	
isogroup19602	0	2	2	2	1	1	2	3	0	0	1	1	0	1	1	0	
isogroup19603	0	0	3	0	0	0	1	4	1	2	2	2	1	1	3	0	
isogroup19604	10	14	10	13	16	15	10	7	10	7	7	15	2	10	7	6	
isogroup19605	12	8	5	15	8	6	13	17	5	8	8	7	6	7	9	9	
isogroup19607	14	11	5	25	5	10	12	49	12	11	25	7	12	6	16	6	
isogroup19608	1737	2370	1762	5026	604	337	878	502	998	1178	465	310	375	112	100	468	
isogroup19609	1	4	4	0	1	1	5	2	0	3	0	1	2	4	1	4	
isogroup1961	16	35	30	44	17	15	31	35	37	36	37	20	24	19	27	22	
isogroup19610	1	6	31	79	3	269	1	3	4	2	4	4	6	0	0	0	
isogroup19611	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	
isogroup19612	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup19613	2	2	3	7	6	1	3	5	4	4	2	1	0	4	2	2	
isogroup19614	1	0	2	0	0	0	0	1	1	0	2	0	2	2	2	1	
isogroup19615	7	13	11	13	5	8	6	16	8	8	1	5	14	13	11	5	
isogroup19616	271	269	145	495	160	233	282	346	328	279	238	375	238	263	429	264	
isogroup19617	1	2	0	0	1	1	1	2	0	0	1	0	1	0	2	0	
isogroup19618	5	6	7	7	5	4	5	5	3	2	4	2	4	8	8	5	
isogroup19619	252	291	191	265	241	284	223	271	272	241	195	269	181	182	389	233	
isogroup1962	5	4	4	3	1	3	4	3	1	0	1	5	1	5	1	5	
isogroup19620	6	5	3	3	2	1	4	2	1	2	2	3	0	2	3	2	
isogroup19621	2	1	0	0	1	1	0	1	0	0	0	0	0	3	2	2	
isogroup19622	0	0	8	22	4	12	9	22	0	1	8	21	6	12	15	11	
isogroup19623	22	27	30	28	26	19	33	28	13	21	23	24	16	26	37	33	
isogroup19624	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	2	
isogroup19625	6	3	5	1	7	2	5	7	1	0	1	7	5	7	2	6	
isogroup19627	83	94	45	114	64	71	100	156	58	57	53	98	63	108	93	76	
isogroup19628	3	4	0	0	1	0	0	1	2	3	0	0	1	4	5	1	
isogroup19629	1	1	3	2	1	4	5	7	3	0	2	5	1	1	10	4	
isogroup1963	0	5	5	5	3	3	4	7	3	1	1	4	1	0	3	2	
isogroup19630	2	1	3	0	3	1	4	1	1	1	1	3	0	3	2	0	
isogroup19631	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup19632	53	47	16	35	17	7	45	70	47	41	39	68	24	80	45	43	
isogroup19633	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup19634	1	0	4	2	0	0	2	2	0	0	2	2	0	1	1	1	
isogroup19635	10	24	27	29	31	18	51	44	19	15	39	30	33	43	39	17	
isogroup19636	2	10	10	7	2	2	9	8	0	6	3	6	0	9	6	5	
isogroup19637	12	12	7	12	13	11	12	10	8	12	5	10	5	12	8	8	
isogroup19638	2	2	0	2	0	4	1	5	0	1	1	1	1	1	1	3	
isogroup19639	1	2	1	4	0	2	2	6	1	1	2	1	2	2	0	6	
isogroup1964	5	7	8	3	10	3	12	15	1	9	3	5	32	34	19	28	
isogroup19640	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	
isogroup19641	13	12	17	11	5	16	12	16	5	7	8	12	10	23	12	21	
isogroup19642	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
isogroup19643	17	30	8	2	3	8	14	17	15	10	8	14	15	18	11	10	
isogroup19644	1	1	0	3	0	1	0	0	1	3	1	0	1	0	12	2	
isogroup19645	3	8	4	8	4	3	5	10	4	2	7	9	5	9	3	4	
isogroup19647	1	4	0	0	0	1	0	11	2	0	0	1	12	16	5	11	
isogroup19648	0	0	0	0	0	0	3	2	0	1	0	0	0	1	1	1	
isogroup19649	1	1	2	0	0	0	0	0	1	0	1	0	0	0	0	1	
isogroup1965	12	11	4	5	10	4	11	11	2	5	4	6	2	10	11	1	
isogroup19650	7	6	6	6	3	3	1	14	9	4	6	5	5	11	7	2	
isogroup19651	16	19	29	36	12	2	31	24	17	23	16	15	14	15	21	15	
isogroup19652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup19654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup19655	7	7	0	8	5	3	3	11	8	4	5	3	6	1	5	4	
isogroup19656	1	0	1	1	0	1	0	0	0	0	2	1	1	0	1	2	
isogroup19657	2	2	4	2	3	1	6	7	1	0	0	2	1	4	2	6	
