	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup10111	44	36	34	54	41	51	56	58	55	35	46	38	56	74	49	33	
isogroup10112	18	14	9	15	7	2	13	18	5	8	18	17	16	7	16	10	
isogroup10113	5	25	7	17	7	0	10	11	4	5	7	10	2	10	5	11	
isogroup10114	8	10	4	8	8	4	10	7	5	10	8	8	6	8	7	8	
isogroup10115	53	58	77	87	56	43	62	95	47	40	34	65	44	112	78	79	
isogroup10116	8	6	6	13	4	8	12	17	8	7	8	11	12	12	14	9	
isogroup10117	64	62	40	80	29	46	61	104	40	31	51	63	46	100	105	64	
isogroup10118	485	464	316	975	312	501	421	692	1004	891	625	527	735	515	870	376	
isogroup10119	1	11	7	3	3	10	7	7	4	3	8	15	8	19	12	12	
isogroup1012	46	38	39	50	26	45	24	34	35	42	32	31	31	40	31	35	
isogroup10120	1	4	3	4	0	0	1	1	1	1	0	1	0	1	0	0	
isogroup10121	1	5	1	2	4	2	4	5	1	2	2	5	0	3	4	9	
isogroup10122	24	32	24	14	21	7	23	27	10	17	13	19	13	27	9	17	
isogroup10123	12	27	24	19	10	21	13	14	6	8	8	14	7	13	17	11	
isogroup10124	10	26	23	19	23	15	17	27	12	8	9	17	6	24	12	17	
isogroup10125	13	19	26	19	29	16	18	22	13	14	12	7	12	28	26	10	
isogroup10126	15	20	17	32	15	7	18	13	12	21	6	10	10	16	10	19	
isogroup10127	24	21	15	31	13	23	23	25	3	15	7	25	11	37	26	21	
isogroup10128	0	0	3	0	0	0	0	0	1	1	0	0	1	0	1	0	
isogroup10129	9	7	6	11	4	5	7	15	0	1	6	8	0	14	7	11	
isogroup1013	8	10	9	29	18	20	10	24	9	16	11	15	16	18	18	19	
isogroup10130	11	29	21	17	16	10	12	24	4	7	5	13	10	30	15	13	
isogroup10131	5	9	3	4	2	5	6	5	5	3	1	12	14	7	7	4	
isogroup10132	11	13	20	9	13	10	16	14	10	11	16	18	5	17	21	13	
isogroup10133	0	2	5	1	4	2	1	2	0	0	3	2	0	2	1	2	
isogroup10134	2	1	2	0	1	1	0	3	1	1	0	1	1	0	1	1	
isogroup10135	8	21	11	20	3	4	22	23	14	11	12	8	10	18	13	12	
isogroup10136	30	30	28	54	44	31	35	45	18	29	30	25	36	47	38	31	
isogroup10137	5	14	12	19	12	11	14	8	9	16	5	10	5	4	9	13	
isogroup10138	6	4	6	7	2	2	7	14	5	1	5	4	2	5	2	2	
isogroup1014	17	19	11	8	10	1	12	39	3	10	16	21	17	22	19	7	
isogroup10140	5	2	3	2	9	9	7	10	2	4	3	4	3	12	8	3	
isogroup10141	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup10142	10	6	7	14	8	8	15	20	2	4	3	6	5	13	9	3	
isogroup10143	0	3	0	0	1	1	1	0	1	3	1	0	1	1	3	1	
isogroup10144	0	2	1	1	2	0	2	1	1	0	1	1	3	2	2	0	
isogroup10145	4	9	12	15	5	5	19	17	5	6	10	15	3	15	5	9	
isogroup10146	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10147	2	6	5	7	1	3	10	7	1	5	2	6	6	3	7	6	
isogroup10148	3	36	48	11	11	51	7	17	9	0	1	7	8	10	5	11	
isogroup10149	5	6	10	8	6	3	2	7	0	3	2	1	5	16	6	6	
isogroup1015	68	79	82	88	87	81	89	124	49	44	58	62	53	105	64	79	
isogroup10150	23	62	97	24	24	86	17	27	20	17	17	24	38	43	17	24	
isogroup10151	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	1	
isogroup10152	3	11	5	3	9	6	7	6	2	3	3	1	2	11	7	8	
isogroup10153	7	4	1	5	4	5	4	44	1	20	3	3	103	82	57	85	
isogroup10154	12	19	13	25	20	2	18	24	7	6	10	20	15	24	19	13	
isogroup10155	13	22	15	27	11	15	20	34	16	17	16	16	27	48	38	29	
isogroup10156	2	7	3	3	2	6	3	4	0	0	0	0	3	3	8	3	
isogroup10157	100	115	85	122	81	67	115	213	95	87	109	99	116	150	211	137	
isogroup10158	46	160	45	46	19	122	23	34	2	7	11	15	7	28	10	10	
isogroup10159	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup1016	3	3	5	5	1	3	4	5	11	5	3	3	6	3	4	6	
isogroup10160	39	33	45	55	43	16	51	50	21	26	39	29	20	54	46	25	
isogroup10161	35	18	19	24	21	14	26	28	8	14	12	19	10	10	26	27	
isogroup10162	429	200	127	1224	371	488	297	379	624	332	554	417	641	434	840	487	
isogroup10163	9	11	10	9	9	4	31	33	6	4	7	10	2	14	4	9	
isogroup10164	5	5	5	6	1	0	1	4	5	4	0	0	0	4	4	5	
isogroup10165	1	1	2	0	1	0	1	6	0	1	0	0	0	2	0	4	
isogroup10167	8	8	2	4	15	3	5	10	11	9	5	7	3	5	14	8	
isogroup10168	5	9	16	11	6	8	7	23	3	2	10	5	6	9	6	5	
isogroup10169	17	19	13	9	11	7	13	34	7	11	10	15	8	23	12	16	
isogroup1017	245	318	379	312	248	246	406	448	148	264	208	306	409	531	359	421	
isogroup10170	7	7	7	10	12	5	9	8	4	7	4	17	2	12	7	9	
isogroup10171	55	75	41	57	25	24	52	75	29	32	45	51	29	90	48	54	
isogroup10172	27	14	16	34	16	18	23	28	9	6	14	11	4	6	16	8	
isogroup10173	37	31	21	16	52	27	22	45	7	12	21	19	16	20	29	22	
isogroup10174	0	0	1	0	0	1	0	3	0	0	1	1	0	1	0	1	
isogroup10175	2	1	2	3	2	2	5	3	2	1	2	3	0	12	2	2	
isogroup10176	1	3	2	2	2	2	1	5	1	1	2	3	0	1	3	6	
isogroup10177	331	183	157	311	161	159	418	384	197	267	270	356	203	325	341	236	
isogroup10178	9	13	12	24	22	10	24	30	8	5	12	17	12	21	18	15	
isogroup10179	16	8	10	16	10	4	11	15	5	7	12	19	7	22	37	22	
isogroup1018	10	28	21	24	5	21	12	28	6	4	11	10	6	20	19	23	
isogroup10180	28	69	54	50	37	56	42	61	25	19	30	51	27	51	39	46	
isogroup10181	1	1	6	11	4	15	7	9	11	14	10	6	6	8	8	5	
isogroup10182	56	25	32	80	29	31	57	88	41	56	45	54	44	32	56	23	
isogroup10183	19	28	15	16	18	11	11	19	7	18	10	21	15	18	19	25	
isogroup10184	183	163	55	130	69	36	94	120	94	69	166	152	3	4	90	94	
isogroup10185	12	18	24	16	8	14	23	32	10	15	13	12	8	17	28	19	
isogroup10186	19	32	56	23	10	31	15	36	8	18	11	24	27	58	25	43	
isogroup10187	52	65	50	55	31	20	69	72	19	28	17	7	7	70	31	24	
isogroup10188	3	4	2	4	2	6	7	4	0	1	3	2	2	6	4	5	
isogroup10189	53	62	44	180	62	137	117	87	119	154	71	61	118	94	169	74	
isogroup1019	43	64	44	69	29	36	56	81	27	31	32	46	29	62	48	43	
isogroup10190	7	22	9	4	9	2	11	22	4	6	7	19	1	16	12	17	
isogroup10191	1	3	0	2	0	2	1	4	1	2	2	2	0	0	0	2	
isogroup10192	215	147	241	393	154	377	173	213	113	201	237	98	235	130	284	157	
isogroup10193	3	8	5	9	4	1	8	15	5	5	4	8	5	27	3	22	
isogroup10194	2	5	5	3	9	3	6	7	3	0	4	4	1	4	5	3	
isogroup10195	1	0	2	1	1	1	0	1	0	0	0	3	0	0	2	3	
isogroup10196	2	5	2	2	6	1	2	8	2	2	2	2	2	5	2	1	
isogroup10197	1	0	1	0	0	0	10	20	0	3	0	2	32	68	25	38	
isogroup10198	33	26	20	62	23	21	21	43	29	22	26	35	23	31	46	28	
isogroup10199	29	49	22	49	29	28	31	56	33	32	21	40	26	76	39	44	
isogroup102	7	14	31	21	24	16	18	27	4	11	8	20	10	41	21	22	
isogroup1020	20	29	14	27	19	11	28	49	15	19	15	20	11	27	22	25	
isogroup10200	0	0	3	4	0	1	1	1	1	0	0	0	1	1	4	0	
isogroup10201	18	13	5	32	2	12	13	15	15	8	24	14	9	14	24	8	
isogroup10202	4	1	3	1	0	1	3	2	1	1	1	3	1	2	4	2	
isogroup10203	86	74	70	103	95	47	137	135	59	75	68	99	70	102	127	91	
isogroup10204	161	211	141	251	94	155	151	225	144	156	150	141	133	216	184	147	
isogroup10205	3	0	0	1	1	0	2	2	1	2	1	0	0	1	0	1	
isogroup10206	12	9	9	11	21	5	18	21	7	6	12	13	8	15	9	8	
isogroup10207	20	19	12	10	14	15	23	25	5	11	11	23	9	14	13	20	
isogroup10208	0	0	0	1	0	1	2	11	1	0	1	1	92	37	43	30	
isogroup10209	15	17	11	22	3	6	20	35	8	16	8	19	4	13	24	25	
isogroup1021	21	69	62	53	34	18	54	68	30	28	25	51	32	32	22	31	
isogroup10210	15	17	12	16	6	4	16	27	8	8	7	13	6	8	4	5	
isogroup10211	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup10212	11	29	20	15	12	11	17	17	5	8	9	14	5	16	6	20	
isogroup10213	23	19	14	20	20	21	24	28	7	19	15	21	9	10	16	9	
isogroup10214	39	47	31	52	17	16	34	57	21	29	38	64	24	64	48	44	
isogroup10215	117	106	58	133	47	76	76	144	76	78	84	115	110	172	154	138	
isogroup10216	14	14	15	13	10	10	10	13	6	5	7	10	5	13	11	6	
isogroup10217	2361	2310	1671	2494	1531	973	2020	3267	1726	1792	2094	2691	1764	2728	2261	1689	
isogroup10218	3	5	4	5	0	4	1	2	0	0	4	1	3	1	1	0	
isogroup10219	7	25	25	6	4	13	2	7	0	1	1	3	3	9	1	8	
isogroup1022	20	21	28	65	17	24	22	42	22	29	5	9	20	25	36	14	
isogroup10220	9	24	15	19	14	10	10	27	3	7	8	12	9	17	9	13	
isogroup10222	3	1	3	3	4	2	1	8	3	2	1	3	3	1	3	3	
isogroup10223	269	269	119	168	148	110	245	291	110	139	187	233	147	181	187	161	
isogroup10224	28	39	34	46	24	42	46	53	29	33	22	30	51	74	46	56	
isogroup10225	97	95	38	123	55	96	84	102	104	102	80	101	118	106	112	106	
